date,state,cases,deaths
1/21/2020,Washington,1,0
1/22/2020,Washington,1,0
1/23/2020,Washington,1,0
1/24/2020,Illinois,1,0
1/24/2020,Washington,1,0
1/25/2020,California,1,0
1/25/2020,Illinois,1,0
1/25/2020,Washington,1,0
1/26/2020,Arizona,1,0
1/26/2020,California,1,0
1/26/2020,California,1,0
1/26/2020,Illinois,1,0
1/26/2020,Washington,1,0
1/27/2020,Arizona,1,0
1/27/2020,California,1,0
1/27/2020,California,1,0
1/27/2020,Illinois,1,0
1/27/2020,Washington,1,0
1/28/2020,Arizona,1,0
1/28/2020,California,1,0
1/28/2020,California,1,0
1/28/2020,Illinois,1,0
1/28/2020,Washington,1,0
1/29/2020,Arizona,1,0
1/29/2020,California,1,0
1/29/2020,California,1,0
1/29/2020,Illinois,1,0
1/29/2020,Washington,1,0
1/30/2020,Arizona,1,0
1/30/2020,California,1,0
1/30/2020,California,1,0
1/30/2020,Illinois,2,0
1/30/2020,Washington,1,0
1/31/2020,Arizona,1,0
1/31/2020,California,1,0
1/31/2020,California,1,0
1/31/2020,California,1,0
1/31/2020,Illinois,2,0
1/31/2020,Washington,1,0
2/1/2020,Arizona,1,0
2/1/2020,California,1,0
2/1/2020,California,1,0
2/1/2020,California,1,0
2/1/2020,Illinois,2,0
2/1/2020,Massachusetts,1,0
2/1/2020,Washington,1,0
2/2/2020,Arizona,1,0
2/2/2020,California,1,0
2/2/2020,California,1,0
2/2/2020,California,2,0
2/2/2020,California,2,0
2/2/2020,Illinois,2,0
2/2/2020,Massachusetts,1,0
2/2/2020,Washington,1,0
2/3/2020,Arizona,1,0
2/3/2020,California,1,0
2/3/2020,California,1,0
2/3/2020,California,2,0
2/3/2020,California,2,0
2/3/2020,Illinois,2,0
2/3/2020,Massachusetts,1,0
2/3/2020,Washington,1,0
2/4/2020,Arizona,1,0
2/4/2020,California,1,0
2/4/2020,California,1,0
2/4/2020,California,2,0
2/4/2020,California,2,0
2/4/2020,Illinois,2,0
2/4/2020,Massachusetts,1,0
2/4/2020,Washington,1,0
2/5/2020,Arizona,1,0
2/5/2020,California,1,0
2/5/2020,California,1,0
2/5/2020,California,2,0
2/5/2020,California,2,0
2/5/2020,Illinois,2,0
2/5/2020,Massachusetts,1,0
2/5/2020,Washington,1,0
2/5/2020,Wisconsin,1,0
2/6/2020,Arizona,1,0
2/6/2020,California,1,0
2/6/2020,California,1,0
2/6/2020,California,2,0
2/6/2020,California,2,0
2/6/2020,Illinois,2,0
2/6/2020,Massachusetts,1,0
2/6/2020,Washington,1,0
2/6/2020,Wisconsin,1,0
2/7/2020,Arizona,1,0
2/7/2020,California,1,0
2/7/2020,California,1,0
2/7/2020,California,2,0
2/7/2020,California,2,0
2/7/2020,Illinois,2,0
2/7/2020,Massachusetts,1,0
2/7/2020,Washington,1,0
2/7/2020,Wisconsin,1,0
2/8/2020,Arizona,1,0
2/8/2020,California,1,0
2/8/2020,California,1,0
2/8/2020,California,2,0
2/8/2020,California,2,0
2/8/2020,Illinois,2,0
2/8/2020,Massachusetts,1,0
2/8/2020,Washington,1,0
2/8/2020,Wisconsin,1,0
2/9/2020,Arizona,1,0
2/9/2020,California,1,0
2/9/2020,California,1,0
2/9/2020,California,2,0
2/9/2020,California,2,0
2/9/2020,Illinois,2,0
2/9/2020,Massachusetts,1,0
2/9/2020,Washington,1,0
2/9/2020,Wisconsin,1,0
2/10/2020,Arizona,1,0
2/10/2020,California,1,0
2/10/2020,California,1,0
2/10/2020,California,1,0
2/10/2020,California,2,0
2/10/2020,California,2,0
2/10/2020,Illinois,2,0
2/10/2020,Massachusetts,1,0
2/10/2020,Washington,1,0
2/10/2020,Wisconsin,1,0
2/11/2020,Arizona,1,0
2/11/2020,California,1,0
2/11/2020,California,1,0
2/11/2020,California,1,0
2/11/2020,California,2,0
2/11/2020,California,2,0
2/11/2020,Illinois,2,0
2/11/2020,Massachusetts,1,0
2/11/2020,Washington,1,0
2/11/2020,Wisconsin,1,0
2/12/2020,Arizona,1,0
2/12/2020,California,1,0
2/12/2020,California,1,0
2/12/2020,California,1,0
2/12/2020,California,2,0
2/12/2020,California,2,0
2/12/2020,Illinois,2,0
2/12/2020,Massachusetts,1,0
2/12/2020,Texas,1,0
2/12/2020,Washington,1,0
2/12/2020,Wisconsin,1,0
2/13/2020,Arizona,1,0
2/13/2020,California,1,0
2/13/2020,California,1,0
2/13/2020,California,1,0
2/13/2020,California,2,0
2/13/2020,California,2,0
2/13/2020,Illinois,2,0
2/13/2020,Massachusetts,1,0
2/13/2020,Texas,2,0
2/13/2020,Washington,1,0
2/13/2020,Wisconsin,1,0
2/14/2020,Arizona,1,0
2/14/2020,California,1,0
2/14/2020,California,1,0
2/14/2020,California,1,0
2/14/2020,California,2,0
2/14/2020,California,2,0
2/14/2020,Illinois,2,0
2/14/2020,Massachusetts,1,0
2/14/2020,Texas,2,0
2/14/2020,Washington,1,0
2/14/2020,Wisconsin,1,0
2/15/2020,Arizona,1,0
2/15/2020,California,1,0
2/15/2020,California,1,0
2/15/2020,California,1,0
2/15/2020,California,2,0
2/15/2020,California,2,0
2/15/2020,Illinois,2,0
2/15/2020,Massachusetts,1,0
2/15/2020,Texas,2,0
2/15/2020,Washington,1,0
2/15/2020,Wisconsin,1,0
2/16/2020,Arizona,1,0
2/16/2020,California,1,0
2/16/2020,California,1,0
2/16/2020,California,1,0
2/16/2020,California,2,0
2/16/2020,California,2,0
2/16/2020,Illinois,2,0
2/16/2020,Massachusetts,1,0
2/16/2020,Texas,2,0
2/16/2020,Washington,1,0
2/16/2020,Wisconsin,1,0
2/17/2020,Arizona,1,0
2/17/2020,California,1,0
2/17/2020,California,1,0
2/17/2020,California,1,0
2/17/2020,California,2,0
2/17/2020,California,2,0
2/17/2020,Illinois,2,0
2/17/2020,Massachusetts,1,0
2/17/2020,Nebraska,10,0
2/17/2020,Texas,2,0
2/17/2020,Washington,1,0
2/17/2020,Wisconsin,1,0
2/18/2020,Arizona,1,0
2/18/2020,California,1,0
2/18/2020,California,1,0
2/18/2020,California,1,0
2/18/2020,California,2,0
2/18/2020,California,2,0
2/18/2020,Illinois,2,0
2/18/2020,Massachusetts,1,0
2/18/2020,Nebraska,10,0
2/18/2020,Texas,2,0
2/18/2020,Washington,1,0
2/18/2020,Wisconsin,1,0
2/19/2020,Arizona,1,0
2/19/2020,California,1,0
2/19/2020,California,1,0
2/19/2020,California,1,0
2/19/2020,California,2,0
2/19/2020,California,2,0
2/19/2020,Illinois,2,0
2/19/2020,Massachusetts,1,0
2/19/2020,Nebraska,10,0
2/19/2020,Texas,2,0
2/19/2020,Washington,1,0
2/19/2020,Wisconsin,1,0
2/20/2020,Arizona,1,0
2/20/2020,California,1,0
2/20/2020,California,1,0
2/20/2020,California,1,0
2/20/2020,California,1,0
2/20/2020,California,2,0
2/20/2020,California,2,0
2/20/2020,Illinois,2,0
2/20/2020,Massachusetts,1,0
2/20/2020,Nebraska,11,0
2/20/2020,Texas,2,0
2/20/2020,Washington,1,0
2/20/2020,Wisconsin,1,0
2/21/2020,Arizona,1,0
2/21/2020,California,1,0
2/21/2020,California,1,0
2/21/2020,California,1,0
2/21/2020,California,1,0
2/21/2020,California,1,0
2/21/2020,California,2,0
2/21/2020,California,2,0
2/21/2020,Illinois,2,0
2/21/2020,Massachusetts,1,0
2/21/2020,Nebraska,11,0
2/21/2020,Texas,4,0
2/21/2020,Washington,1,0
2/21/2020,Wisconsin,1,0
2/22/2020,Arizona,1,0
2/22/2020,California,1,0
2/22/2020,California,1,0
2/22/2020,California,1,0
2/22/2020,California,1,0
2/22/2020,California,1,0
2/22/2020,California,2,0
2/22/2020,California,2,0
2/22/2020,Illinois,2,0
2/22/2020,Massachusetts,1,0
2/22/2020,Nebraska,11,0
2/22/2020,Texas,4,0
2/22/2020,Washington,1,0
2/22/2020,Wisconsin,1,0
2/23/2020,Arizona,1,0
2/23/2020,California,1,0
2/23/2020,California,1,0
2/23/2020,California,1,0
2/23/2020,California,1,0
2/23/2020,California,1,0
2/23/2020,California,2,0
2/23/2020,California,2,0
2/23/2020,Illinois,2,0
2/23/2020,Massachusetts,1,0
2/23/2020,Nebraska,11,0
2/23/2020,Texas,4,0
2/23/2020,Washington,1,0
2/23/2020,Wisconsin,1,0
2/24/2020,Arizona,1,0
2/24/2020,California,1,0
2/24/2020,California,1,0
2/24/2020,California,1,0
2/24/2020,California,1,0
2/24/2020,California,1,0
2/24/2020,California,3,0
2/24/2020,California,2,0
2/24/2020,California,1,0
2/24/2020,Illinois,2,0
2/24/2020,Massachusetts,1,0
2/24/2020,Nebraska,12,0
2/24/2020,Texas,10,0
2/24/2020,Washington,1,0
2/24/2020,Washington,4,0
2/24/2020,Wisconsin,1,0
2/25/2020,Arizona,1,0
2/25/2020,California,1,0
2/25/2020,California,1,0
2/25/2020,California,1,0
2/25/2020,California,1,0
2/25/2020,California,1,0
2/25/2020,California,3,0
2/25/2020,California,2,0
2/25/2020,California,1,0
2/25/2020,Illinois,2,0
2/25/2020,Massachusetts,1,0
2/25/2020,Nebraska,13,0
2/25/2020,Texas,10,0
2/25/2020,Utah,1,0
2/25/2020,Washington,1,0
2/25/2020,Washington,4,0
2/25/2020,Wisconsin,1,0
2/26/2020,Arizona,1,0
2/26/2020,California,1,0
2/26/2020,California,1,0
2/26/2020,California,1,0
2/26/2020,California,1,0
2/26/2020,California,1,0
2/26/2020,California,3,0
2/26/2020,California,1,0
2/26/2020,California,3,0
2/26/2020,California,2,0
2/26/2020,California,11,0
2/26/2020,California,1,0
2/26/2020,Illinois,2,0
2/26/2020,Massachusetts,1,0
2/26/2020,Nebraska,13,0
2/26/2020,Texas,10,0
2/26/2020,Utah,1,0
2/26/2020,Washington,1,0
2/26/2020,Washington,4,0
2/26/2020,Wisconsin,1,0
2/27/2020,Arizona,1,0
2/27/2020,California,1,0
2/27/2020,California,1,0
2/27/2020,California,1,0
2/27/2020,California,1,0
2/27/2020,California,1,0
2/27/2020,California,3,0
2/27/2020,California,1,0
2/27/2020,California,3,0
2/27/2020,California,2,0
2/27/2020,California,11,0
2/27/2020,California,1,0
2/27/2020,Illinois,2,0
2/27/2020,Massachusetts,1,0
2/27/2020,Nebraska,13,0
2/27/2020,Texas,10,0
2/27/2020,Utah,1,0
2/27/2020,Washington,1,0
2/27/2020,Washington,4,0
2/27/2020,Wisconsin,1,0
2/28/2020,Arizona,1,0
2/28/2020,California,1,0
2/28/2020,California,1,0
2/28/2020,California,1,0
2/28/2020,California,1,0
2/28/2020,California,1,0
2/28/2020,California,3,0
2/28/2020,California,1,0
2/28/2020,California,3,0
2/28/2020,California,3,0
2/28/2020,California,11,0
2/28/2020,California,1,0
2/28/2020,Illinois,2,0
2/28/2020,Massachusetts,1,0
2/28/2020,Nebraska,13,0
2/28/2020,Oregon,1,0
2/28/2020,Texas,11,0
2/28/2020,Utah,1,0
2/28/2020,Washington,1,0
2/28/2020,Washington,2,0
2/28/2020,Washington,4,0
2/28/2020,Wisconsin,1,0
2/29/2020,Arizona,1,0
2/29/2020,California,1,0
2/29/2020,California,1,0
2/29/2020,California,1,0
2/29/2020,California,1,0
2/29/2020,California,1,0
2/29/2020,California,3,0
2/29/2020,California,1,0
2/29/2020,California,3,0
2/29/2020,California,4,0
2/29/2020,California,11,0
2/29/2020,California,1,0
2/29/2020,Illinois,3,0
2/29/2020,Massachusetts,1,0
2/29/2020,Nebraska,13,0
2/29/2020,Oregon,1,0
2/29/2020,Texas,11,0
2/29/2020,Utah,1,0
2/29/2020,Washington,4,1
2/29/2020,Washington,2,0
2/29/2020,Washington,4,0
2/29/2020,Wisconsin,1,0
3/1/2020,Arizona,1,0
3/1/2020,California,1,0
3/1/2020,California,1,0
3/1/2020,California,1,0
3/1/2020,California,1,0
3/1/2020,California,1,0
3/1/2020,California,1,0
3/1/2020,California,3,0
3/1/2020,California,1,0
3/1/2020,California,3,0
3/1/2020,California,7,0
3/1/2020,California,12,0
3/1/2020,California,1,0
3/1/2020,Florida,1,0
3/1/2020,Florida,1,0
3/1/2020,Illinois,3,0
3/1/2020,Massachusetts,1,0
3/1/2020,Nebraska,13,0
3/1/2020,New York,1,0
3/1/2020,Oregon,2,0
3/1/2020,Rhode Island,2,0
3/1/2020,Texas,11,0
3/1/2020,Utah,1,0
3/1/2020,Washington,11,3
3/1/2020,Washington,2,0
3/1/2020,Washington,4,0
3/1/2020,Wisconsin,1,0
3/2/2020,Arizona,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,1,0
3/2/2020,California,3,0
3/2/2020,California,1,0
3/2/2020,California,3,0
3/2/2020,California,1,0
3/2/2020,California,9,0
3/2/2020,California,12,0
3/2/2020,California,2,0
3/2/2020,Florida,1,0
3/2/2020,Florida,1,0
3/2/2020,Georgia,2,0
3/2/2020,Illinois,4,0
3/2/2020,Massachusetts,1,0
3/2/2020,Massachusetts,1,0
3/2/2020,Nebraska,13,0
3/2/2020,New Hampshire,1,0
3/2/2020,New York,1,0
3/2/2020,Oregon,2,0
3/2/2020,Rhode Island,2,0
3/2/2020,Texas,11,0
3/2/2020,Utah,1,0
3/2/2020,Washington,15,6
3/2/2020,Washington,3,0
3/2/2020,Washington,4,0
3/2/2020,Washington,1,0
3/2/2020,Wisconsin,1,0
3/3/2020,Arizona,2,0
3/3/2020,California,2,0
3/3/2020,California,1,0
3/3/2020,California,1,0
3/3/2020,California,1,0
3/3/2020,California,1,0
3/3/2020,California,1,0
3/3/2020,California,3,0
3/3/2020,California,2,0
3/3/2020,California,3,0
3/3/2020,California,1,0
3/3/2020,California,3,0
3/3/2020,California,1,0
3/3/2020,California,11,0
3/3/2020,California,12,0
3/3/2020,California,2,0
3/3/2020,Florida,2,0
3/3/2020,Florida,1,0
3/3/2020,Georgia,2,0
3/3/2020,Illinois,4,0
3/3/2020,Massachusetts,1,0
3/3/2020,Massachusetts,1,0
3/3/2020,Nebraska,13,0
3/3/2020,New Hampshire,2,0
3/3/2020,New York,2,0
3/3/2020,North Carolina,1,0
3/3/2020,Oregon,2,0
3/3/2020,Rhode Island,2,0
3/3/2020,Texas,11,0
3/3/2020,Utah,1,0
3/3/2020,Washington,22,10
3/3/2020,Washington,5,0
3/3/2020,Washington,4,0
3/3/2020,Washington,1,0
3/3/2020,Wisconsin,1,0
3/4/2020,Arizona,2,0
3/4/2020,California,2,0
3/4/2020,California,1,0
3/4/2020,California,1,0
3/4/2020,California,7,0
3/4/2020,California,1,0
3/4/2020,California,1,0
3/4/2020,California,3,0
3/4/2020,California,2,1
3/4/2020,California,3,0
3/4/2020,California,1,0
3/4/2020,California,3,0
3/4/2020,California,1,0
3/4/2020,California,14,0
3/4/2020,California,12,0
3/4/2020,California,3,0
3/4/2020,Florida,2,0
3/4/2020,Florida,1,0
3/4/2020,Georgia,2,0
3/4/2020,Illinois,4,0
3/4/2020,Massachusetts,1,0
3/4/2020,Massachusetts,1,0
3/4/2020,Nebraska,13,0
3/4/2020,New Hampshire,2,0
3/4/2020,New Jersey,1,0
3/4/2020,New York,2,0
3/4/2020,New York,9,0
3/4/2020,North Carolina,1,0
3/4/2020,Oregon,2,0
3/4/2020,Rhode Island,2,0
3/4/2020,Texas,11,0
3/4/2020,Texas,1,0
3/4/2020,Utah,1,0
3/4/2020,Washington,1,0
3/4/2020,Washington,33,11
3/4/2020,Washington,8,0
3/4/2020,Washington,4,0
